"city","state","lon","lat"
"Providence","RI",-71.4375,41.8125
"Dover","MA",-71.3125,42.1875
"East Mansfield","MA",-71.1875,41.9375
"East Walpole","MA",-71.1875,42.1875
"Foxboro","MA",-71.1875,42.0625
"Franklin","MA",-71.4375,42.0625
"Greenbush","MA",-70.6875,41.9375
"Green Harbor","MA",-70.6875,42.0625
"Hingham","MA",-70.9375,42.1875
"Hull","MA",-70.9375,42.1875
"Humarock","MA",-70.6875,42.0625
"Mansfield","MA",-71.1875,42.0625
"Marshfield","MA",-70.6875,42.0625
"Marshfield Hills","MA",-70.8125,42.1875
"Medfield","MA",-71.3125,42.1875
"Medway","MA",-71.4375,42.1875
"Millis","MA",-71.3125,42.1875
"Minot","MA",-70.6875,41.9375
"Norfolk","MA",-71.3125,42.0625
"North Marshfield","MA",-70.6875,41.9375
"North Scituate","MA",-70.6875,41.9375
"Norwell","MA",-70.8125,42.1875
"Norwood","MA",-71.1875,42.1875
"Ocean Bluff","MA",-70.6875,42.0625
"Scituate","MA",-70.8125,42.1875
"Sharon","MA",-71.1875,42.0625
"Sheldonville","MA",-71.0625,42.1875
"South Walpole","MA",-71.3125,42.0625
"Stoughton","MA",-71.0625,42.1875
"Walpole","MA",-71.3125,42.1875
"Foxborough","MA",-71.3125,42.0625
"Westwood","MA",-71.1875,42.1875
"Wrentham","MA",-71.3125,42.0625
"Boston","MA",-71.0625,42.3125
"Mattapan","MA",-71.0625,42.3125
"Charlestown","MA",-71.0625,42.4375
"Jamaica Plain","MA",-71.0625,42.3125
"Roslindale","MA",-71.1875,42.3125
"West Roxbury","MA",-71.1875,42.3125
"Allston","MA",-71.1875,42.3125
"Brighton","MA",-71.1875,42.3125
"Hyde Park","MA",-71.1875,42.3125
"Readville","MA",-71.0625,42.3125
"Cambridge","MA",-71.1875,42.4375
"Somerville","MA",-71.0625,42.4375
"Brookline","MA",-71.0625,42.3125
"Brookline Village","MA",-71.0625,42.1875
"Malden","MA",-71.0625,42.4375
"Everett","MA",-71.0625,42.4375
"Chelsea","MA",-71.0625,42.4375
"Revere","MA",-71.0625,42.4375
"Winthrop","MA",-71.0625,42.3125
"Medford","MA",-71.4375,42.4375
"Waltham","MA",-71.1875,42.4375
"West Medford","MA",-71.4375,42.4375
"Babson Park","MA",-71.1875,42.1875
"Newton","MA",-71.1875,42.3125
"Auburndale","MA",-71.1875,42.3125
"Chestnut Hill","MA",-71.1875,42.3125
"Waban","MA",-71.4375,42.4375
"Quincy","MA",-70.9375,42.1875
"Watertown","MA",-71.1875,42.3125
"Lexington","MA",-71.4375,42.4375
"Arlington","MA",-71.1875,42.4375
"Arlington Heights","MA",-71.4375,42.4375
"Melrose","MA",-71.0625,42.4375
"Belmont","MA",-71.4375,42.4375
"Waverley","MA",-71.4375,42.4375
"Stoneham","MA",-71.0625,42.4375
"Wellesley","MA",-71.3125,42.3125
"Braintree","MA",-70.9375,42.1875
"Milton","MA",-71.0625,42.3125
"Milton Village","MA",-71.0625,42.1875
"Weymouth","MA",-70.9375,42.1875
"Needham","MA",-71.0625,42.1875
"Weston","MA",-71.4375,42.4375
"East Boston","MA",-71.0625,42.3125
"Brockton","MA",-71.0625,42.0625
"Avon","MA",-71.0625,42.0625
"Bridgewater","MA",-70.9375,41.9375
"Bryantville","MA",-70.8125,42.0625
"Carver","MA",-70.8125,41.8125
"Duxbury","MA",-70.6875,41.9375
"East Bridgewater","MA",-70.9375,42.0625
"Easton","MA",-71.1875,42.0625
"Elmwood","MA",-70.9375,42.0625
"Halifax","MA",-70.8125,41.9375
"Hanover","MA",-70.8125,42.1875
"Hanson","MA",-70.8125,42.0625
"Holbrook","MA",-71.0625,42.1875
"Middleboro","MA",-70.6875,41.9375
"Manomet","MA",-70.5625,41.8125
"Lakeville","MA",-70.9375,41.8125
"Monponsett","MA",-70.8125,42.0625
"Abington","MA",-70.9375,42.0625
"North Carver","MA",-70.8125,41.9375
"North Easton","MA",-71.0625,42.0625
"North Pembroke","MA",-70.6875,41.8125
"Pembroke","MA",-70.8125,42.0625
"Plymouth","MA",-70.6875,41.9375
"Kingston","MA",-70.6875,41.9375
"South Carver","MA",-70.6875,41.8125
"Plympton","MA",-70.8125,41.9375
"Randolph","MA",-71.0625,42.1875
"Dennis Port","MA",-70.1875,41.6875
"Rockland","MA",-70.9375,42.1875
"South Easton","MA",-71.0625,42.0625
"West Bridgewater","MA",-71.0625,42.0625
"White Horse Beach","MA",-70.6875,41.9375
"Whitman","MA",-70.9375,42.0625
"North Waltham","MA",-71.1875,42.4375
"New Town","MA",-71.4375,42.4375
"Newton Center","MA",-71.1875,42.3125
"Newtonville","MA",-71.1875,42.3125
"Newton Highlands","MA",-71.1875,42.3125
"Newton Lower Falls","MA",-71.3125,42.3125
"Newton Upper Falls","MA",-71.1875,42.3125
"West Newton","MA",-71.1875,42.3125
"Wellesley Hills","MA",-71.3125,42.3125
"Nonantum","MA",-71.4375,42.4375
"Buzzards Bay","MA",-70.5625,41.8125
"Cataumet","MA",-70.5625,41.6875
"Chilmark","MA",-70.6875,41.4375
"East Falmouth","MA",-70.5625,41.5625
"East Sandwich","MA",-70.4375,41.6875
"East Wareham","MA",-70.6875,41.8125
"Edgartown","MA",-70.6875,41.4375
"Falmouth","MA",-70.5625,41.5625
"Woods Hole","MA",-70.5625,41.5625
"Mashpee","MA",-70.5625,41.5625
"Oak Bluffs","MA",-70.6875,41.4375
"Menemsha","MA",-70.6875,41.4375
"Monument Beach","MA",-70.5625,41.6875
"Nantucket","MA",-70.0625,41.6875
"North Falmouth","MA",-70.5625,41.6875
"Onset","MA",-70.6875,41.8125
"Pocasset","MA",-70.5625,41.6875
"Sagamore","MA",-70.5625,41.8125
"Sagamore Beach","MA",-70.5625,41.8125
"Sandwich","MA",-70.4375,41.6875
"Siasconset","MA",-70.0625,41.6875
"Silver Beach","MA",-70.3125,41.6875
"Vineyard Haven","MA",-70.6875,41.4375
"Wareham","MA",-70.6875,41.8125
"West Falmouth","MA",-70.5625,41.5625
"West Tisbury","MA",-70.6875,41.4375
"West Wareham","MA",-70.8125,41.8125
"Hyannis","MA",-70.3125,41.6875
"Barnstable Town","MA",-70.4375,41.6875
"Barnstable","MA",-70.3125,41.6875
"Brewster","MA",-70.0625,41.6875
"Centerville","MA",-70.3125,41.6875
"Chatham","MA",-70.0625,41.6875
"Cotuit","MA",-70.4375,41.6875
"Cummaquid","MA",-70.3125,41.6875
"Dennis","MA",-70.1875,41.6875
"East Dennis","MA",-70.1875,41.6875
"Eastham","MA",-70.0625,41.6875
"East Orleans","MA",-70.0625,41.6875
"Forestdale","MA",-70.5625,41.6875
"Harwich","MA",-70.0625,41.6875
"Harwich Port","MA",-70.0625,41.6875
"Hyannis Port","MA",-70.3125,41.6875
"Marstons Mills","MA",-70.4375,41.6875
"North Chatham","MA",-70.0625,41.6875
"North Eastham","MA",-70.0625,41.6875
"North Truro","MA",-70.0625,41.6875
"Orleans","MA",-70.0625,41.6875
"Osterville","MA",-70.4375,41.6875
"Provincetown","MA",-70.1875,41.6875
"South Chatham","MA",-70.0625,41.6875
"South Dennis","MA",-70.1875,41.6875
"South Harwich","MA",-70.0625,41.6875
"South Orleans","MA",-70.0625,41.6875
"South Wellfleet","MA",-70.0625,41.6875
"South Yarmouth","MA",-70.1875,41.6875
"Truro","MA",-70.0625,41.6875
"Wellfleet","MA",-70.0625,41.6875
"West Barnstable","MA",-70.3125,41.6875
"West Chatham","MA",-70.0625,41.6875
"West Dennis","MA",-70.1875,41.6875
"West Harwich","MA",-70.0625,41.6875
"West Hyannisport","MA",-70.3125,41.6875
"West Yarmouth","MA",-70.1875,41.6875
"Yarmouth Port","MA",-70.1875,41.6875
"Assonet","MA",-71.0625,41.8125
"Attleboro","MA",-71.3125,41.9375
"Chartley","MA",-71.0625,41.8125
"Cuttyhunk","MA",-70.6875,41.4375
"Dartmouth","MA",-71.0625,41.8125
"Dighton","MA",-71.1875,41.8125
"East Freetown","MA",-70.9375,41.8125
"East Taunton","MA",-71.0625,41.9375
"Fairhaven","MA",-70.9375,41.6875
"Fall River","MA",-71.1875,41.6875
"Somerset","MA",-71.1875,41.6875
"Marion","MA",-70.8125,41.6875
"Mattapoisett","MA",-70.8125,41.6875
"New Bedford","MA",-70.9375,41.6875
"Acushnet","MA",-70.9375,41.6875
"North Dartmouth","MA",-70.9375,41.6875
"South Dartmouth","MA",-71.0625,41.5625
"North Attleboro","MA",-71.3125,41.9375
"Plainville","MA",-71.3125,42.0625
"Attleboro Falls","MA",-71.3125,41.9375
"North Dighton","MA",-71.1875,41.8125
"Norton","MA",-71.1875,41.9375
"Raynham","MA",-71.0625,41.9375
"Raynham Center","MA",-71.0625,41.8125
"Rehoboth","MA",-71.3125,41.8125
"Rochester","MA",-70.8125,41.8125
"Seekonk","MA",-71.3125,41.8125
"Swansea","MA",-71.1875,41.6875
"Berkley","MA",-71.0625,41.8125
"Taunton","MA",-71.0625,41.9375
"Westport","MA",-71.0625,41.5625
"South Kingstown","RI",-71.4375,41.5625
"Westport Point","MA",-71.0625,41.5625
"Adamsville","RI",-71.1875,41.5625
"Albion","RI",-71.4375,41.9375
"Ashaway","RI",-71.8125,41.4375
"Foster","RI",-71.6875,41.8125
"Barrington","RI",-71.3125,41.8125
"Block Island","RI",-71.5625,41.4375
"Bradford","RI",-71.6875,41.4375
"Bristol","RI",-71.1875,41.6875
